vuln_id,repo,packages,num_commits_kb,commits_processed,functions_extracted,num_functions
CVE-2018-17197,apache/tika,org.apache.tika/tika-parsers;org.apache.tika/tika-core;org.apache.tika/tika-app,1,1,CorruptedFileException;IOExceptionWithCause;JDBCTableReader;RecursiveParserWrapper;SQLite3TableReader;getTableNames;getTableReader;parse;parseEmbedded,9
CVE-2018-17198,apache/roller,,1,1,WebloggerImpl;getAutopingManager;getBookmarkManager;getFileContentManager;getIndexManager;getMediaFileManager;getPingQueueManager;getPingTargetManager;getPluginManager;getPropertiesManager;getThemeManager;getThreadManager;getUserManager;getWeblogEntryManager;getWeblogManager;initialize,16
CVE-2018-17201,apache/commons-imaging,org.apache.commons/commons-imaging,1,1,ImageReadException;getPixelData,2
CVE-2018-17202,apache/commons-imaging,org.apache.commons/commons-imaging,1,1,fastRound,1
CVE-2018-17228,narkisr/nmap4j,,1,1,File;Nmap4j;RuntimeException;addFlags;excludeHosts;execute;getExecutionResults;getOutput;getResult;hasError;includeHosts;ip;isFile;isIp;isSubnet;subnet,16
CVE-2018-17297,looly/hutool,,3,2,File;IORuntimeException;IllegalArgumentException;NullPointerException;addDir;checkSlip;file;getParent;read;toMap;unGzip;unzip;unzipFileBytes;zip;zlib,15
CVE-2018-17419,miekg/dns,,1,1,TestParseTA;TestParseZoneInclude;setTA,3
CVE-2018-17785,blynkkk/blynk-server,,1,0,,0
CVE-2018-17796,wuweiit/mushroom,,1,1,WebParam;doDataReplace;getByUrl;getChannel,4
CVE-2018-18074,requests/requests,requests/requests,1,1,get_redirect_target;rebuild_auth;should_strip_auth,3
CVE-2018-18389,neo4j/neo4j,,1,1,getLdapContextUsingStartTls,1
CVE-2018-18476,nedap/mysql-binuuid-rails,,1,1,cast;strip_dashes,2
CVE-2018-18531,penggle/kaptcha,cn.aghost/kaptcha;com.github.penggle/kaptcha,1,1,Random;SecureRandom;getDistortedImage;getText;makeNoise;renderWord,6
CVE-2018-18628,pippo-java/pippo,,1,1,InvalidClassException;RuntimeException;WhitelistObjectInputStream;encode;isWhiteListed;loadWhitelist;resolveClass,7
CVE-2018-19048,mycolorway/simditor,,1,1,Safari;TypeError;_executeHook;_forceRemove;_isValidAttribute;_parseConfig;_removeAttribute;_sanitizeAttributes;_sanitizeShadowDOM;_toConsumableArray;addToSet;clone;createDOMPurify;define;importNode,15
CVE-2018-19351,jupyter/notebook,notebook/notebook,1,1,NbconvertFileHandler;content_security_policy;get,3
CVE-2018-19360,FasterXML/jackson-databind,com.fasterxml.jackson.core/jackson-databind;net.sf.ehcache/ehcache;org.apache.htrace/htrace-core4;com.couchbase.client/core-io,1,1,,0
CVE-2018-19361,FasterXML/jackson-databind,com.fasterxml.jackson.core/jackson-databind;net.sf.ehcache/ehcache;org.apache.htrace/htrace-core4;com.couchbase.client/core-io,1,1,,0
CVE-2018-19362,FasterXML/jackson-databind,com.fasterxml.jackson.core/jackson-databind;net.sf.ehcache/ehcache;org.apache.htrace/htrace-core4;com.couchbase.client/core-io,1,1,,0
CVE-2018-19413,SonarSource/sonarqube,,1,1,Change;define;setIfNeeded;towsUser,4
CVE-2018-19586,Silverpeas/Silverpeas-Core,,2,2,WebApplicationException;getComponentInstanceId;getSimpleName,3
CVE-2018-19859,OpenRefine/OpenRefine,,1,1,IllegalArgumentException;allocateFile,2
CVE-2018-1999020,opennetworkinglab/onos,,1,1,File;expandPlainApplication;expandZippedApplication;filterAppNameForFilesystem;isActive;substring,6
CVE-2018-1999024,mathjax/MathJax,,1,1,,0
CVE-2018-1999042,jenkinsci/jenkins,,1,1,ConversionException;fromString;init;registerConverter,4
CVE-2018-1999044,jenkinsci/jenkins,,1,1,addTo,1
CVE-2018-1999045,jenkinsci/jenkins,,1,1,cancelCookie;doLogout;loginSuccess;makeCancelCookie;makeValidCookie;secureCookie,6
