vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-fc4h-467w-46rh,ansible,pypi,high,5,ConfigManager;__init__;_deprecated;_warning;find_ini_config_file;get_ini_config_value;set_constant,7,False,ansible/ansible
GHSA-j569-fghw-f9rx,ansible,pypi,high,4,wrapped,1,False,ansible/ansible
GHSA-grm6-x6mr-q3cv,horizon,pypi,medium,3,escape;monkeypatch_escape,2,False,openstack/horizon
GHSA-f7cr-7c2c-fm8r,ironic,pypi,high,3,lookup,1,False,openstack/ironic
GHSA-3xvg-x47j-x75w,ansible,pypi,high,4,__getstate__;__init__;__setstate__;_play_prereqs;get_vars;version_info,6,False,ansible/ansible
GHSA-qcj3-h27m-mp9x,octavia,pypi,high,1,AmphoraCertUpload;__init__;_perform_amphora_failover;create_amphora;create_load_balancer;execute;get_six_compatible_server_certs_key_passphrase;get_six_compatible_value;ip_netmask_to_cidr,9,False,openstack/octavia
GHSA-jr9m-v5qh-mh2j,neutron,pypi,high,0,,0,False,
GHSA-9773-3fqg-8w25,neutron,pypi,high,0,,0,False,
GHSA-x634-34m9-96mp,neutron,pypi,high,1,_add_interface_by_subnet;_check_router_port;_validate_port_in_range_or_admin;_validate_router_port_info,4,False,openstack/neutron
GHSA-3m8p-xpm6-8ww3,ansible,pypi,high,2,_is_unsafe;decode;template,3,False,ansible/ansible
GHSA-53wm-97p6-582f,instack-undercloud,pypi,medium,0,,0,False,
GHSA-hvxr-2fvv-c3wq,neutron,pypi,medium,0,,0,False,
GHSA-j36m-hv43-7w7m,keystone,pypi,high,2,get_roles_for_user_and_domain,1,False,openstack/keystone
GHSA-vq76-5ghr-9p4v,manila-ui,pypi,medium,3,get_data;get_share_types_data;get_shares_data;html_escape;metadata_to_str;parse_str_meta,6,False,openstack/manila-ui
GHSA-jwvw-v7c5-m82h,protobuf,pypi,high,0,,0,False,
GHSA-34wj-p5jm-2p96,python-docx,pypi,high,1,,0,False,python-openxml/python-docx
GHSA-588w-w6mv-3cw5,ansible,pypi,critical,1,main,1,False,ansible/ansible
GHSA-5jrq-582v-9767,admesh,pypi,high,0,,0,False,
